site_number	 element 	 time 	 value 	 unit 
01548500	Ca	2010-10-13 11:30:00	214.581565946	mmol/L
01548500	Ca	2010-11-01 12:15:00	249.513448775	mmol/L
01548500	Ca	2010-12-28 09:30:00	244.523179799	mmol/L
01548500	Ca	2011-01-04 09:30:00	229.552372873	mmol/L
01548500	Ca	2011-03-08 09:00:00	144.717800289	mmol/L
01548500	Ca	2011-04-06 12:30:00	137.232396826	mmol/L
01548500	Ca	2011-05-11 10:45:00	214.581565946	mmol/L
01548500	Ca	2011-06-15 13:30:00	309.396676481	mmol/L
01548500	Ca	2011-07-19 12:30:00	406.706921503	mmol/L
01548500	Ca	2011-08-24 09:45:00	434.153400868	mmol/L
01548500	Ca	2011-09-28 10:00:00	247.018314287	mmol/L
01548500	Ca	2011-10-18 12:00:00	197.115624532	mmol/L
01548500	Ca	2011-11-09 10:15:00	204.601027995	mmol/L
01548500	Ca	2011-12-13 09:45:00	212.086431459	mmol/L
01548500	Ca	2012-01-24 09:15:00	189.630221069	mmol/L
01548500	Ca	2012-02-22 09:00:00	229.552372873	mmol/L
01548500	Ca	2012-03-27 10:30:00	192.125355557	mmol/L
01548500	Ca	2012-04-25 09:30:00	291.930735067	mmol/L
01548500	Ca	2012-05-16 10:00:00	197.115624532	mmol/L
01548500	Ca	2012-06-26 10:00:00	296.921004042	mmol/L
01548500	Ca	2012-07-24 10:00:00	379.260442138	mmol/L
01548500	Ca	2012-08-22 10:15:00	1589.4006687	mmol/L
01548500	Ca	2012-09-18 11:15:00	371.775038675	mmol/L
01548500	Ca	2012-10-16 08:30:00	389.240980089	mmol/L
01548500	Ca	2012-11-27 09:45:00	264.484255701	mmol/L
01548500	Ca	2013-01-15 08:30:00	157.193472728	mmol/L
01548500	Ca	2013-03-14 12:00:00	159.688607216	mmol/L
01548500	Ca	2013-04-15 12:00:00	157.193472728	mmol/L
01548500	Ca	2013-05-14 11:45:00	182.144817606	mmol/L
01548500	Ca	2013-06-11 11:00:00	266.979390189	mmol/L
01548500	Ca	2013-07-22 11:00:00	286.940466091	mmol/L
01548500	Ca	2013-08-21 12:30:00	222.06696941	mmol/L
01548500	Ca	2013-09-23 09:30:00	341.833424822	mmol/L
01548500	Ca	2013-11-25 08:45:00	234.542641848	mmol/L
01548500	Ca	2013-12-11 13:45:00	209.591296971	mmol/L
01548500	Ca	2014-01-14 09:45:00	209.591296971	mmol/L
01548500	Ca	2014-03-25 11:30:00	202.105893508	mmol/L
01548500	Ca	2014-04-08 12:45:00	177.15454863	mmol/L
01548500	Ca	2014-05-13 11:30:00	209.591296971	mmol/L
01548500	Ca	2014-06-25 09:00:00	291.930735067	mmol/L
01549600	Ca	2002-04-10 12:30:00	204.601027995	mmol/L
01549600	Ca	2002-06-03 09:15:00	229.552372873	mmol/L
01549600	Ca	2002-08-12 09:30:00	346.823693797	mmol/L
01549600	Ca	2002-11-07 09:45:00	274.464793652	mmol/L
01549600	Ca	2003-01-15 09:30:00	229.552372873	mmol/L
01549600	Ca	2003-03-12 16:00:00	254.50371775	mmol/L
01549600	Ca	2003-05-14 09:30:00	269.474524677	mmol/L
01549600	Ca	2003-07-17 08:30:00	314.386945456	mmol/L
01549600	Ca	2003-09-17 09:15:00	249.513448775	mmol/L
01549600	Ca	2003-10-15 09:30:00	244.523179799	mmol/L
01549600	Ca	2003-12-15 13:30:00	172.164279655	mmol/L
01549600	Ca	2004-02-11 09:00:00	261.989121214	mmol/L
01549600	Ca	2004-04-22 09:15:00	192.125355557	mmol/L
01549600	Ca	2004-06-17 09:45:00	276.95992814	mmol/L
01549600	Ca	2004-08-26 10:00:00	242.028045312	mmol/L
01549600	Ca	2004-11-22 10:15:00	239.532910824	mmol/L
01549600	Ca	2005-01-24 14:30:00	212.086431459	mmol/L
01549600	Ca	2005-03-14 10:15:00	204.601027995	mmol/L
01549600	Ca	2005-05-18 09:45:00	266.979390189	mmol/L
01549600	Ca	2005-07-20 09:45:00	394.231249064	mmol/L
01549600	Ca	2005-09-28 09:15:00	434.153400868	mmol/L
01549600	Ca	2005-10-19 09:30:00	366.784769699	mmol/L
01549600	Ca	2005-12-28 09:45:00	266.979390189	mmol/L
01549600	Ca	2006-02-21 09:30:00	222.06696941	mmol/L
01549600	Ca	2006-04-19 10:35:00	232.047507361	mmol/L
01549600	Ca	2006-06-05 10:30:00	187.135086581	mmol/L
01549600	Ca	2006-08-09 11:00:00	344.328559309	mmol/L
01549600	Ca	2006-11-06 14:30:00	202.105893508	mmol/L
01549600	Ca	2007-01-09 13:30:00	154.69833824	mmol/L
01549600	Ca	2007-03-08 12:00:00	217.076700434	mmol/L
01549600	Ca	2007-07-12 10:00:00	354.30909726	mmol/L
01549600	Ca	2007-09-17 11:30:00	404.211787015	mmol/L
01549600	Ca	2007-10-03 10:45:00	416.687459454	mmol/L
01549600	Ca	2007-12-03 10:30:00	269.474524677	mmol/L
01549600	Ca	2008-02-04 11:30:00	202.105893508	mmol/L
01549600	Ca	2008-04-08 11:30:00	152.203203753	mmol/L
01549600	Ca	2008-06-05 12:30:00	252.008583263	mmol/L
01549600	Ca	2008-08-07 14:00:00	361.794500724	mmol/L
01549600	Ca	2008-11-18 12:15:00	439.143669844	mmol/L
01549600	Ca	2009-01-06 14:15:00	232.047507361	mmol/L
01549600	Ca	2009-03-17 14:30:00	164.678876191	mmol/L
01549600	Ca	2009-07-08 12:45:00	304.406407505	mmol/L
01549600	Ca	2009-09-14 13:15:00	394.231249064	mmol/L
01549600	Ca	2009-12-07 13:15:00	192.125355557	mmol/L
01549600	Ca	2010-06-17 09:15:00	299.41613853	mmol/L
01549600	Ca	2010-08-10 12:15:00	364.289635211	mmol/L
01549600	Ca	2010-11-03 10:30:00	301.911273018	mmol/L
01549600	Ca	2011-01-04 11:30:00	261.989121214	mmol/L
01549600	Ca	2011-03-08 10:30:00	112.281051949	mmol/L
01549600	Ca	2011-05-11 13:15:00	256.998852238	mmol/L
01549600	Ca	2011-07-19 10:30:00	638.754428864	mmol/L
01549600	Ca	2011-09-26 10:15:00	299.41613853	mmol/L
01549600	Ca	2011-10-18 10:15:00	179.649683118	mmol/L
